open_time,open_time UTC+7,open,high,low,close,volume,close_time,close_time UTC+7
1.6338E+12,2021-10-09 23:00:00,54977.29,55149.96,54592.21,54656.81,11444.01939,1.63381E+12,2021-10-10 03:00:00
1.63381E+12,2021-10-10 03:00:00,54656.81,55165,54323,54949.72,10146.51128,1.63382E+12,2021-10-10 07:00:00
1.63382E+12,2021-10-10 07:00:00,54949.72,55199,54080,55049.15,13788.55433,1.63384E+12,2021-10-10 11:00:00
1.63384E+12,2021-10-10 11:00:00,55049.16,56074.43,54850,55668.81,15429.10845,1.63385E+12,2021-10-10 15:00:00
1.63385E+12,2021-10-10 15:00:00,55668.81,55928,54680,55144.99,14352.73087,1.63387E+12,2021-10-10 19:00:00
1.63387E+12,2021-10-10 19:00:00,55145,55551.38,54638,55373.01,12625.99494,1.63388E+12,2021-10-10 23:00:00
1.63388E+12,2021-10-10 23:00:00,55370.28,55523.36,55000,55450.25,11798.42221,1.6339E+12,2021-10-11 03:00:00
1.6339E+12,2021-10-11 03:00:00,55450.25,56561.31,54333.85,54659,21243.02533,1.63391E+12,2021-10-11 07:00:00
1.63391E+12,2021-10-11 07:00:00,54659.01,56750,54415.06,56507.09,13331.56206,1.63392E+12,2021-10-11 11:00:00
1.63392E+12,2021-10-11 11:00:00,56505.05,57049,56142.85,56789.76,8050.995249,1.63394E+12,2021-10-11 15:00:00
1.63394E+12,2021-10-11 15:00:00,56789.76,56879.95,55862.78,56407.51,7651.44583,1.63395E+12,2021-10-11 19:00:00
1.63395E+12,2021-10-11 19:00:00,56406.68,57678,56092.33,57490.18,11163.00956,1.63397E+12,2021-10-11 23:00:00
1.63397E+12,2021-10-11 23:00:00,57490.17,57839.04,57168.67,57488.33,6722.160367,1.63398E+12,2021-10-12 03:00:00
1.63398E+12,2021-10-12 03:00:00,57488.33,57506.84,56800,57471.35,6013.99269,1.634E+12,2021-10-12 07:00:00
1.634E+12,2021-10-12 07:00:00,57471.35,57471.35,56400,56711.35,7661.14666,1.63401E+12,2021-10-12 11:00:00
